model,latency_ms_per_sample,energy_kwh,co2_grams,model_size_mb
distilbert,9.572380701700848,0.0031384134579337,3.138413457933733,2558.107587814331
albert_base,20.912280920780063,0.0067208487618675,6.72084876186752,454.58360958099365
bert_base,18.770147227277658,0.0059470137226594,5.947013722659486,4180.7254066467285
roberta_base,17.35004663949061,0.005582115974845,5.582115974845081,4773.930230140686
electra_base,18.81731811677567,0.0060484081574809,6.048408157480919,4180.7281703948975
deberta_v3_base,24.945391683867484,0.0079230256522347,7.923025652234776,7078.286147117615
albert_large,67.96036647064517,0.0214979469769766,21.497946976976653,686.3953495025635
bert_large,61.117248342494776,0.0193492662105347,19.349266210534758,12789.52220916748
roberta_large,58.06738562535758,0.0183131026311186,18.313102631118664,13570.010577201843
